Season,TeamID,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,Opp_Score,Opp_FGM,Opp_FGA,Opp_FGM3,Opp_FGA3,Opp_FTM,Opp_FTA,Opp_OR,Opp_DR,Opp_Ast,Opp_TO,Opp_Stl,Opp_Blk,Opp_PF,Poss,OppPoss,Games,Wins,Avg_Off_Eff,Avg_Def_Eff,Net_Rating,EFG_Pct,TO_Rate,OR_Pct,Win_Pct,Overall_Win_Pct,Avg_Score,Avg_FGM,Avg_FGA,Avg_FGM3,Avg_FGA3,Avg_FTM,Avg_FTA,Avg_OR,Avg_DR,Avg_Ast,Avg_TO,Avg_Stl,Avg_Blk,Avg_PF,Avg_Opp_Score,Avg_Opp_FGM,Avg_Opp_FGA,Avg_Opp_FGM3,Avg_Opp_FGA3,Avg_Opp_FTM,Avg_Opp_FTA,Avg_Opp_OR,Avg_Opp_DR,Avg_Opp_Ast,Avg_Opp_TO,Avg_Opp_Stl,Avg_Opp_Blk,Avg_Opp_PF,Home_Win_Pct,Away_Win_Pct,Last_14_Days_Win_Pct,End_Season_Elo,seed
1981,1610616833,240.0,102.0,210.0,0.0,0.0,36.0,62.0,26.0,88.0,60.0,42.0,20.0,18.0,56.0,236.0,100.0,228.0,0.0,2.0,36.0,52.0,46.0,74.0,50.0,32.0,26.0,20.0,54.0,255.45,238.7,2,2,93.95184967704053,98.86887306242146,-4.917023385380929,0.4857142857142857,0.16441573693482092,0.26,1.0,1.0,120.0,51.0,105.0,0.0,0.0,18.0,31.0,13.0,44.0,30.0,21.0,10.0,9.0,28.0,118.0,50.0,114.0,0.0,1.0,18.0,26.0,23.0,37.0,25.0,16.0,13.0,10.0,27.0,1.0,,1.0,1525.6098370578618,1
1981,1610616834,236.0,100.0,228.0,0.0,2.0,36.0,52.0,46.0,74.0,50.0,32.0,26.0,20.0,54.0,240.0,102.0,210.0,0.0,0.0,36.0,62.0,26.0,88.0,60.0,42.0,20.0,18.0,56.0,238.7,255.45,2,0,98.86887306242146,93.95184967704053,4.917023385380929,0.43859649122807015,0.13405948889819858,0.34328358208955223,0.0,0.0,118.0,50.0,114.0,0.0,1.0,18.0,26.0,23.0,37.0,25.0,16.0,13.0,10.0,27.0,120.0,51.0,105.0,0.0,0.0,18.0,31.0,13.0,44.0,30.0,21.0,10.0,9.0,28.0,,0.0,0.0,1474.3901629421382,9
1982,1610612738,99.0,39.0,86.0,0.0,3.0,21.0,25.0,14.0,28.0,25.0,14.0,8.0,2.0,27.0,107.0,41.0,85.0,1.0,3.0,24.0,31.0,17.0,29.0,22.0,17.0,5.0,2.0,25.0,97.875,99.725,1,0,101.14942528735634,107.295061418902,-6.145636131545658,0.45348837209302323,0.14303959131545338,0.32558139534883723,0.0,0.0,99.0,39.0,86.0,0.0,3.0,21.0,25.0,14.0,28.0,25.0,14.0,8.0,2.0,27.0,107.0,41.0,85.0,1.0,3.0,24.0,31.0,17.0,29.0,22.0,17.0,5.0,2.0,25.0,,0.0,0.0,1503.4884999545852,7
1982,1610612743,105.0,41.0,108.0,2.0,4.0,21.0,31.0,16.0,30.0,24.0,17.0,8.0,3.0,16.0,145.0,67.0,124.0,3.0,7.0,8.0,11.0,19.0,56.0,51.0,18.0,12.0,10.0,28.0,123.725,128.225,1,0,84.86562942008487,113.08247221680641,-28.216842796721537,0.3888888888888889,0.13740149525156597,0.2222222222222222,0.0,0.0,105.0,41.0,108.0,2.0,4.0,21.0,31.0,16.0,30.0,24.0,17.0,8.0,3.0,16.0,145.0,67.0,124.0,3.0,7.0,8.0,11.0,19.0,56.0,51.0,18.0,12.0,10.0,28.0,,0.0,0.0,1492.9646952875676,7
1982,1610612747,974.0,396.0,814.0,5.0,31.0,177.0,232.0,129.0,254.0,251.0,153.0,88.0,60.0,239.0,1008.0,405.0,813.0,8.0,26.0,190.0,261.0,147.0,273.0,260.0,156.0,77.0,60.0,207.0,948.2,945.975,9,3,102.72094494832314,106.55672718623642,-3.8357822379132784,0.48955773955773957,0.1613583632145117,0.3208955223880597,0.3333333333333333,0.3333333333333333,108.22222222222223,44.0,90.44444444444444,0.5555555555555556,3.4444444444444446,19.666666666666668,25.77777777777778,14.333333333333334,28.22222222222222,27.88888888888889,17.0,9.777777777777779,6.666666666666667,26.555555555555557,112.0,45.0,90.33333333333333,0.8888888888888888,2.888888888888889,21.11111111111111,29.0,16.333333333333332,30.333333333333332,28.88888888888889,17.333333333333332,8.555555555555555,6.666666666666667,23.0,0.4,0.25,0.0,1485.8371642243155,6
1982,1610612749,500.0,198.0,429.0,4.0,14.0,100.0,135.0,90.0,138.0,111.0,94.0,43.0,30.0,127.0,506.0,202.0,421.0,0.0,6.0,102.0,140.0,77.0,135.0,111.0,83.0,48.0,33.0,120.0,497.125,493.5,5,2,100.57832537088258,102.53292806484295,-1.9546026939603678,0.4662004662004662,0.18908725169725923,0.4,0.4,0.4,100.0,39.6,85.8,0.8,2.8,20.0,27.0,18.0,27.6,22.2,18.8,8.6,6.0,25.4,101.2,40.4,84.2,0.0,1.2,20.4,28.0,15.4,27.0,22.2,16.6,9.6,6.6,24.0,1.0,0.0,0.25,1498.8119890290566,5
1982,1610612752,102.0,36.0,80.0,3.0,5.0,27.0,33.0,10.0,25.0,27.0,13.0,4.0,0.0,26.0,105.0,42.0,77.0,0.0,0.0,21.0,29.0,11.0,28.0,22.0,18.0,3.0,5.0,29.0,98.675,97.775,1,0,103.36964783379783,107.38941447200203,-4.019766638204203,0.46875,0.13174562959209526,0.2631578947368421,0.0,0.0,102.0,36.0,80.0,3.0,5.0,27.0,33.0,10.0,25.0,27.0,13.0,4.0,0.0,26.0,105.0,42.0,77.0,0.0,0.0,21.0,29.0,11.0,28.0,22.0,18.0,3.0,5.0,29.0,0.0,,0.0,1486.721871710142,7
1982,1610612755,954.0,377.0,766.0,0.0,6.0,200.0,282.0,146.0,255.0,212.0,155.0,87.0,68.0,211.0,897.0,356.0,785.0,9.0,31.0,176.0,230.0,144.0,244.0,214.0,170.0,78.0,57.0,248.0,908.95,920.25,9,8,104.95626822157433,97.47351263243684,7.482755589137497,0.49216710182767626,0.1705264315968975,0.37435897435897436,0.8888888888888888,0.8888888888888888,106.0,41.888888888888886,85.11111111111111,0.0,0.6666666666666666,22.22222222222222,31.333333333333332,16.22222222222222,28.333333333333332,23.555555555555557,17.22222222222222,9.666666666666666,7.555555555555555,23.444444444444443,99.66666666666667,39.55555555555556,87.22222222222223,1.0,3.4444444444444446,19.555555555555557,25.555555555555557,16.0,27.11111111111111,23.77777777777778,18.88888888888889,8.666666666666666,6.333333333333333,27.555555555555557,1.0,0.75,1.0,1548.719905457395,2
1982,1610612757,216.0,86.0,177.0,4.0,7.0,40.0,56.0,31.0,53.0,62.0,30.0,15.0,9.0,39.0,211.0,91.0,176.0,0.0,9.0,29.0,40.0,23.0,65.0,59.0,32.0,22.0,14.0,50.0,202.60000000000002,204.0,2,1,106.61401776900294,103.43137254901961,3.1826452199833284,0.4971751412429379,0.14807502467917077,0.3229166666666667,0.5,0.5,108.0,43.0,88.5,2.0,3.5,20.0,28.0,15.5,26.5,31.0,15.0,7.5,4.5,19.5,105.5,45.5,88.0,0.0,4.5,14.5,20.0,11.5,32.5,29.5,16.0,11.0,7.0,25.0,1.0,0.0,0.5,1500.5833248455924,3
1982,1610612759,495.0,214.0,406.0,7.0,23.0,60.0,78.0,63.0,156.0,145.0,76.0,30.0,29.0,107.0,466.0,183.0,385.0,4.0,11.0,96.0,130.0,61.0,109.0,118.0,58.0,38.0,20.0,85.0,456.05,443.75,4,2,108.54073018309396,105.01408450704226,3.5266456760517,0.5357142857142857,0.16664839381646748,0.36627906976744184,0.5,0.5,123.75,53.5,101.5,1.75,5.75,15.0,19.5,15.75,39.0,36.25,19.0,7.5,7.25,26.75,116.5,45.75,96.25,1.0,2.75,24.0,32.5,15.25,27.25,29.5,14.5,9.5,5.0,21.25,0.5,0.5,0.5,1506.4447779034153,3
